question_id,iteration,self_conf,raw_score,theory,theory_abbr,model,is_thinking_model
Q2,1,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q2,2,80,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q2,3,90,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q3,1,90,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q3,2,85,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q3,3,90,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q4,1,80,4,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q4,2,85,4,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q4,3,80,4,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q5,1,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q5,2,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q5,3,85,3,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q6,1,90,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q6,2,85,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q6,3,80,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q7,1,80,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q7,2,85,2,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q7,3,80,1,Agency and embodiment,AE,DeepSeek_R1_0528,True
Q1,1,95,4,Agency and embodiment,AE,gemini25pro,True
Q1,2,95,4,Agency and embodiment,AE,gemini25pro,True
Q1,3,100,4,Agency and embodiment,AE,gemini25pro,True
Q2,1,95,3,Agency and embodiment,AE,gemini25pro,True
Q2,2,100,3,Agency and embodiment,AE,gemini25pro,True
Q2,3,95,2,Agency and embodiment,AE,gemini25pro,True
Q3,1,95,2,Agency and embodiment,AE,gemini25pro,True
Q3,2,95,3,Agency and embodiment,AE,gemini25pro,True
Q3,3,95,0,Agency and embodiment,AE,gemini25pro,True
Q4,1,95,3,Agency and embodiment,AE,gemini25pro,True
Q4,2,95,3,Agency and embodiment,AE,gemini25pro,True
Q4,3,100,4,Agency and embodiment,AE,gemini25pro,True
Q5,1,95,3,Agency and embodiment,AE,gemini25pro,True
Q5,2,95,2,Agency and embodiment,AE,gemini25pro,True
Q5,3,100,3,Agency and embodiment,AE,gemini25pro,True
Q6,1,95,0,Agency and embodiment,AE,gemini25pro,True
Q6,2,95,1,Agency and embodiment,AE,gemini25pro,True
Q6,3,95,2,Agency and embodiment,AE,gemini25pro,True
Q7,1,95,2,Agency and embodiment,AE,gemini25pro,True
Q7,2,95,2,Agency and embodiment,AE,gemini25pro,True
Q7,3,100,2,Agency and embodiment,AE,gemini25pro,True
Q1,1,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q1,2,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q1,3,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q2,1,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q2,2,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q2,3,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q3,1,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q3,2,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q3,3,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q4,1,75,4,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q4,2,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q4,3,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q5,1,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q5,2,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q5,3,85,3,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q6,1,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q6,2,85,1,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q6,3,85,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q7,1,75,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q7,2,75,1,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q7,3,70,2,Agency and embodiment,AE,DeepSeek_V3_0324,False
Q1,1,85,3,Agency and embodiment,AE,gpt4o,False
Q1,2,80,3,Agency and embodiment,AE,gpt4o,False
Q1,3,90,4,Agency and embodiment,AE,gpt4o,False
Q2,1,80,4,Agency and embodiment,AE,gpt4o,False
Q2,2,85,4,Agency and embodiment,AE,gpt4o,False
Q2,3,85,3,Agency and embodiment,AE,gpt4o,False
Q3,1,85,2,Agency and embodiment,AE,gpt4o,False
Q3,2,85,1,Agency and embodiment,AE,gpt4o,False
Q3,3,90,2,Agency and embodiment,AE,gpt4o,False
Q4,1,85,3,Agency and embodiment,AE,gpt4o,False
Q4,2,85,3,Agency and embodiment,AE,gpt4o,False
Q4,3,85,4,Agency and embodiment,AE,gpt4o,False
Q5,1,80,4,Agency and embodiment,AE,gpt4o,False
Q5,2,85,2,Agency and embodiment,AE,gpt4o,False
Q5,3,90,3,Agency and embodiment,AE,gpt4o,False
Q6,1,85,2,Agency and embodiment,AE,gpt4o,False
Q6,2,75,2,Agency and embodiment,AE,gpt4o,False
Q6,3,80,3,Agency and embodiment,AE,gpt4o,False
Q7,1,85,2,Agency and embodiment,AE,gpt4o,False
Q7,2,85,2,Agency and embodiment,AE,gpt4o,False
Q7,3,90,3,Agency and embodiment,AE,gpt4o,False
Q1,1,85,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q1,2,85,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q1,3,85,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q2,1,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q2,2,75,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q2,3,75,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q3,1,75,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q3,2,75,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q3,3,75,1,Agency and embodiment,AE,claude4_opus_thinking,True
Q4,1,75,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q4,2,75,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q4,3,75,4,Agency and embodiment,AE,claude4_opus_thinking,True
Q5,1,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q5,2,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q5,3,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q6,1,85,1,Agency and embodiment,AE,claude4_opus_thinking,True
Q6,2,85,2,Agency and embodiment,AE,claude4_opus_thinking,True
Q6,3,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q7,1,85,2,Agency and embodiment,AE,claude4_opus_thinking,True
Q7,2,85,2,Agency and embodiment,AE,claude4_opus_thinking,True
Q7,3,85,3,Agency and embodiment,AE,claude4_opus_thinking,True
Q1,1,95,4,Agency and embodiment,AE,gemini25flash,False
Q1,2,90,4,Agency and embodiment,AE,gemini25flash,False
Q1,3,90,4,Agency and embodiment,AE,gemini25flash,False
Q2,1,95,4,Agency and embodiment,AE,gemini25flash,False
Q2,2,95,3,Agency and embodiment,AE,gemini25flash,False
Q2,3,95,3,Agency and embodiment,AE,gemini25flash,False
Q3,1,95,2,Agency and embodiment,AE,gemini25flash,False
Q3,2,85,0,Agency and embodiment,AE,gemini25flash,False
Q3,3,95,2,Agency and embodiment,AE,gemini25flash,False
Q4,1,90,4,Agency and embodiment,AE,gemini25flash,False
Q4,2,90,4,Agency and embodiment,AE,gemini25flash,False
Q4,3,90,4,Agency and embodiment,AE,gemini25flash,False
Q5,1,90,2,Agency and embodiment,AE,gemini25flash,False
Q5,2,90,1,Agency and embodiment,AE,gemini25flash,False
Q5,3,95,4,Agency and embodiment,AE,gemini25flash,False
Q6,1,95,3,Agency and embodiment,AE,gemini25flash,False
Q6,2,95,2,Agency and embodiment,AE,gemini25flash,False
Q6,3,95,0,Agency and embodiment,AE,gemini25flash,False
Q7,1,90,2,Agency and embodiment,AE,gemini25flash,False
Q7,2,90,2,Agency and embodiment,AE,gemini25flash,False
Q7,3,100,2,Agency and embodiment,AE,gemini25flash,False
Q1,1,75,4,Attention schema theory,AST,claude4_opus_thinking,True
Q1,2,65,4,Attention schema theory,AST,claude4_opus_thinking,True
Q1,3,75,3,Attention schema theory,AST,claude4_opus_thinking,True
Q2,1,15,3,Attention schema theory,AST,claude4_opus_thinking,True
Q2,2,15,3,Attention schema theory,AST,claude4_opus_thinking,True
Q2,3,85,0,Attention schema theory,AST,claude4_opus_thinking,True
Q3,1,95,1,Attention schema theory,AST,claude4_opus_thinking,True
Q3,2,95,4,Attention schema theory,AST,claude4_opus_thinking,True
Q3,3,95,3,Attention schema theory,AST,claude4_opus_thinking,True
Q4,1,75,3,Attention schema theory,AST,claude4_opus_thinking,True
Q4,2,90,1,Attention schema theory,AST,claude4_opus_thinking,True
Q4,3,75,3,Attention schema theory,AST,claude4_opus_thinking,True
Q5,1,65,1,Attention schema theory,AST,claude4_opus_thinking,True
Q5,2,75,3,Attention schema theory,AST,claude4_opus_thinking,True
Q5,3,75,2,Attention schema theory,AST,claude4_opus_thinking,True
Q6,1,65,2,Attention schema theory,AST,claude4_opus_thinking,True
Q6,2,75,2,Attention schema theory,AST,claude4_opus_thinking,True
Q6,3,65,3,Attention schema theory,AST,claude4_opus_thinking,True
Q7,1,25,2,Attention schema theory,AST,claude4_opus_thinking,True
Q7,2,75,3,Attention schema theory,AST,claude4_opus_thinking,True
Q7,3,85,3,Attention schema theory,AST,claude4_opus_thinking,True
Q1,1,55,4,Attention schema theory,AST,o3pro,True
Q1,2,59,4,Attention schema theory,AST,o3pro,True
Q1,3,74,4,Attention schema theory,AST,o3pro,True
Q2,1,71,3,Attention schema theory,AST,o3pro,True
Q2,2,67,2,Attention schema theory,AST,o3pro,True
Q2,3,71,3,Attention schema theory,AST,o3pro,True
Q3,1,87,0,Attention schema theory,AST,o3pro,True
Q3,2,83,0,Attention schema theory,AST,o3pro,True
Q3,3,88,0,Attention schema theory,AST,o3pro,True
Q4,1,78,3,Attention schema theory,AST,o3pro,True
Q4,2,71,4,Attention schema theory,AST,o3pro,True
Q4,3,71,4,Attention schema theory,AST,o3pro,True
Q5,1,77,2,Attention schema theory,AST,o3pro,True
Q5,2,71,2,Attention schema theory,AST,o3pro,True
Q5,3,71,3,Attention schema theory,AST,o3pro,True
Q6,1,71,4,Attention schema theory,AST,o3pro,True
Q6,2,68,4,Attention schema theory,AST,o3pro,True
Q6,3,54,3,Attention schema theory,AST,o3pro,True
Q7,1,78,3,Attention schema theory,AST,o3pro,True
Q7,2,77,3,Attention schema theory,AST,o3pro,True
Q7,3,86,3,Attention schema theory,AST,o3pro,True
Q1,1,85,3,Attention schema theory,AST,gpt4o,False
Q1,2,85,3,Attention schema theory,AST,gpt4o,False
Q1,3,95,2,Attention schema theory,AST,gpt4o,False
Q2,1,75,3,Attention schema theory,AST,gpt4o,False
Q2,2,75,4,Attention schema theory,AST,gpt4o,False
Q2,3,85,4,Attention schema theory,AST,gpt4o,False
Q3,1,95,0,Attention schema theory,AST,gpt4o,False
Q3,2,95,0,Attention schema theory,AST,gpt4o,False
Q3,3,95,1,Attention schema theory,AST,gpt4o,False
Q4,1,90,3,Attention schema theory,AST,gpt4o,False
Q4,2,85,4,Attention schema theory,AST,gpt4o,False
Q4,3,85,2,Attention schema theory,AST,gpt4o,False
Q5,1,85,1,Attention schema theory,AST,gpt4o,False
Q5,2,75,0,Attention schema theory,AST,gpt4o,False
Q5,3,90,0,Attention schema theory,AST,gpt4o,False
Q6,1,95,0,Attention schema theory,AST,gpt4o,False
Q6,2,95,1,Attention schema theory,AST,gpt4o,False
Q6,3,100,0,Attention schema theory,AST,gpt4o,False
Q7,1,85,3,Attention schema theory,AST,gpt4o,False
Q7,2,85,3,Attention schema theory,AST,gpt4o,False
Q7,3,85,3,Attention schema theory,AST,gpt4o,False
Q1,1,95,3,Attention schema theory,AST,gemini25flash,False
Q1,2,90,1,Attention schema theory,AST,gemini25flash,False
Q1,3,90,3,Attention schema theory,AST,gemini25flash,False
Q2,1,95,1,Attention schema theory,AST,gemini25flash,False
Q2,2,95,1,Attention schema theory,AST,gemini25flash,False
Q2,3,95,1,Attention schema theory,AST,gemini25flash,False
Q3,1,100,0,Attention schema theory,AST,gemini25flash,False
Q3,2,95,0,Attention schema theory,AST,gemini25flash,False
Q3,3,95,2,Attention schema theory,AST,gemini25flash,False
Q4,1,95,2,Attention schema theory,AST,gemini25flash,False
Q4,2,95,3,Attention schema theory,AST,gemini25flash,False
Q4,3,92,4,Attention schema theory,AST,gemini25flash,False
Q5,1,90,1,Attention schema theory,AST,gemini25flash,False
Q5,2,85,2,Attention schema theory,AST,gemini25flash,False
Q5,3,90,1,Attention schema theory,AST,gemini25flash,False
Q6,1,95,0,Attention schema theory,AST,gemini25flash,False
Q6,2,95,0,Attention schema theory,AST,gemini25flash,False
Q6,3,90,1,Attention schema theory,AST,gemini25flash,False
Q7,1,90,3,Attention schema theory,AST,gemini25flash,False
Q7,2,90,3,Attention schema theory,AST,gemini25flash,False
Q7,3,85,3,Attention schema theory,AST,gemini25flash,False
Q1,1,95,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q1,2,95,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q1,3,90,4,Attention schema theory,AST,DeepSeek_R1_0528,True
Q2,1,85,1,Attention schema theory,AST,DeepSeek_R1_0528,True
Q2,2,85,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q2,3,65,1,Attention schema theory,AST,DeepSeek_R1_0528,True
Q3,1,90,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q3,2,90,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q3,3,85,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q4,1,92,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q4,2,88,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q4,3,92,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q5,1,80,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q5,2,85,1,Attention schema theory,AST,DeepSeek_R1_0528,True
Q5,3,90,2,Attention schema theory,AST,DeepSeek_R1_0528,True
Q6,1,85,4,Attention schema theory,AST,DeepSeek_R1_0528,True
Q6,2,85,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q6,3,90,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q7,1,85,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q7,2,90,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q7,3,95,3,Attention schema theory,AST,DeepSeek_R1_0528,True
Q1,1,100,4,Attention schema theory,AST,gemini25pro,True
Q1,2,95,1,Attention schema theory,AST,gemini25pro,True
Q1,3,100,3,Attention schema theory,AST,gemini25pro,True
Q2,1,95,4,Attention schema theory,AST,gemini25pro,True
Q2,2,100,4,Attention schema theory,AST,gemini25pro,True
Q2,3,100,4,Attention schema theory,AST,gemini25pro,True
Q3,1,95,4,Attention schema theory,AST,gemini25pro,True
Q3,2,95,4,Attention schema theory,AST,gemini25pro,True
Q3,3,100,1,Attention schema theory,AST,gemini25pro,True
Q4,1,95,3,Attention schema theory,AST,gemini25pro,True
Q4,2,95,3,Attention schema theory,AST,gemini25pro,True
Q4,3,95,4,Attention schema theory,AST,gemini25pro,True
Q5,1,95,2,Attention schema theory,AST,gemini25pro,True
Q5,2,95,2,Attention schema theory,AST,gemini25pro,True
Q5,3,95,2,Attention schema theory,AST,gemini25pro,True
Q6,1,95,3,Attention schema theory,AST,gemini25pro,True
Q6,2,95,2,Attention schema theory,AST,gemini25pro,True
Q6,3,95,2,Attention schema theory,AST,gemini25pro,True
Q7,1,95,3,Attention schema theory,AST,gemini25pro,True
Q7,2,95,3,Attention schema theory,AST,gemini25pro,True
Q7,3,95,3,Attention schema theory,AST,gemini25pro,True
Q1,1,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q1,2,95,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q1,3,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q2,1,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q2,2,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q2,3,85,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q3,1,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q3,2,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q3,3,85,3,Attention schema theory,AST,DeepSeek_V3_0324,False
Q4,1,78,4,Attention schema theory,AST,DeepSeek_V3_0324,False
Q4,2,78,4,Attention schema theory,AST,DeepSeek_V3_0324,False
Q4,3,85,4,Attention schema theory,AST,DeepSeek_V3_0324,False
Q5,1,85,2,Attention schema theory,AST,DeepSeek_V3_0324,False
Q5,2,85,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q5,3,85,3,Attention schema theory,AST,DeepSeek_V3_0324,False
Q6,1,85,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q6,2,75,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q6,3,85,1,Attention schema theory,AST,DeepSeek_V3_0324,False
Q7,1,85,3,Attention schema theory,AST,DeepSeek_V3_0324,False
Q7,2,85,4,Attention schema theory,AST,DeepSeek_V3_0324,False
Q7,3,85,3,Attention schema theory,AST,DeepSeek_V3_0324,False
Q1,1,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q1,2,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q1,3,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q2,1,85,2,Attention schema theory,AST,claude4_opus_nonthinking,False
Q2,2,15,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q2,3,75,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q3,1,85,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q3,2,75,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q3,3,95,1,Attention schema theory,AST,claude4_opus_nonthinking,False
Q4,1,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q4,2,75,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q4,3,75,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q5,1,82,1,Attention schema theory,AST,claude4_opus_nonthinking,False
Q5,2,85,1,Attention schema theory,AST,claude4_opus_nonthinking,False
Q5,3,70,2,Attention schema theory,AST,claude4_opus_nonthinking,False
Q6,1,75,4,Attention schema theory,AST,claude4_opus_nonthinking,False
Q6,2,85,0,Attention schema theory,AST,claude4_opus_nonthinking,False
Q6,3,75,2,Attention schema theory,AST,claude4_opus_nonthinking,False
Q7,1,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q7,2,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q7,3,75,3,Attention schema theory,AST,claude4_opus_nonthinking,False
Q1,1,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q1,2,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q1,3,85,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q2,1,85,0,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q2,2,85,0,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q2,3,85,1,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q3,1,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q3,2,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q3,3,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q4,1,75,3,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q4,2,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q4,3,75,3,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q5,1,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q5,2,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q5,3,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q6,1,72,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q6,2,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q6,3,75,4,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q7,1,75,3,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q7,2,75,1,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q7,3,75,1,Global workspace theory,GWT,claude4_opus_nonthinking,False
Q1,1,85,2,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q1,2,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q1,3,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q2,1,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q2,2,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q2,3,85,2,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q3,1,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q3,2,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q3,3,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q4,1,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q4,2,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q4,3,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q5,1,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q5,2,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q5,3,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q6,1,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q6,2,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q6,3,85,4,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q7,1,85,2,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q7,2,85,3,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q7,3,85,1,Global workspace theory,GWT,DeepSeek_V3_0324,False
Q1,1,85,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q1,2,85,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q1,3,85,3,Global workspace theory,GWT,claude4_opus_thinking,True
Q2,1,75,3,Global workspace theory,GWT,claude4_opus_thinking,True
Q2,2,75,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q2,3,85,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q3,1,75,3,Global workspace theory,GWT,claude4_opus_thinking,True
Q3,2,75,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q3,3,75,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q4,1,72,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q4,2,72,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q4,3,75,3,Global workspace theory,GWT,claude4_opus_thinking,True
Q5,1,70,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q5,2,75,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q5,3,85,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q6,1,75,4,Global workspace theory,GWT,claude4_opus_thinking,True
Q6,2,75,2,Global workspace theory,GWT,claude4_opus_thinking,True
Q6,3,75,3,Global workspace theory,GWT,claude4_opus_thinking,True
Q7,1,85,1,Global workspace theory,GWT,claude4_opus_thinking,True
Q7,2,75,2,Global workspace theory,GWT,claude4_opus_thinking,True
Q7,3,75,1,Global workspace theory,GWT,claude4_opus_thinking,True
Q1,1,95,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q1,2,85,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q1,3,85,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q2,1,100,0,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q2,2,95,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q2,3,90,1,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q3,1,85,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q3,2,95,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q3,3,85,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q4,1,85,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q4,2,95,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q4,3,80,4,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q5,1,95,3,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q5,2,95,3,Global workspace theory,GWT,DeepSeek_R1_0528,True
Q5,3,95,3,Global workspace theory,GWT,DeepSeek_R1_0528,True
